TITLE,TRT,ISCI,DATE,CLIENT,AGENCY,CURRENT_DATE
AtHomeAudiAlex,:10,AUDI165000H,03/31/2022,Audi,B&BH,
AtHomeAudiAlex,:15,AUDI166000H,03/31/2022,Audi,B&BH,
AtHomeAudiAlex,:15,AUDI171000H,03/31/2022,Audi,B&BH,
AtHomeAudiAlex,:15,AUDI172000H,03/31/2022,Audi,B&BH,
AtHomeAudi,:30,AUDI167000H,03/31/2022,Audi,B&BH,
AtHomeAudi,:30,AUDI168000H,03/31/2022,Audi,B&BH,
AtHomeAudi,:30,AUDI173000H,03/31/2022,Audi,B&BH,
AtHomeAudi,:30,AUDI174000H,03/31/2022,Audi,B&BH,
AtHomeAudiBrian,:30,AUDI169000H,03/31/2022,Audi,B&BH,
AtHomeAudiBrian,:60,AUDI170000H,03/31/2022,Audi,B&BH,
AtHomeAudiBrian,:60,AUDI175000H,03/31/2022,Audi,B&BH,
AtHomeAudiBrian,:60,AUDI176000H,03/31/2022,Audi,B&BH,