TITLE,TRT,ISCI,DATE,CLIENT,AGENCY,RATIO,CURRENT_DATE
AtHomeAudiAlex,:10,AUDI165000H,11/28/2018,Audi,B&BH,16x9,
AtHomeAudiAlex,:15,AUDI166000H,11/28/2018,Audi,B&BH,16x9,
AtHomeAudiAlex,:15,AUDI171000H,11/28/2018,Audi,B&BH,16x9,
AtHomeAudiAlex,:15,AUDI172000H,11/28/2018,Audi,B&BH,16x9,
AtHomeAudi,:30,AUDI167000H,11/28/2018,Audi,B&BH,16x9,
AtHomeAudi,:30,AUDI168000H,11/28/2018,Audi,B&BH,4x3,
AtHomeAudi,:30,AUDI173000H,11/28/2018,Audi,B&BH,4x3,
AtHomeAudi,:30,AUDI174000H,11/28/2018,Audi,B&BH,4x3,
AtHomeAudiBrian,:30,AUDI169000H,11/28/2018,Audi,B&BH,1x1,
AtHomeAudiBrian,:60,AUDI170000H,11/28/2018,Audi,B&BH,1x1,
AtHomeAudiBrian,:60,AUDI175000H,11/28/2018,Audi,B&BH,1x1,
AtHomeAudiBrian,:60,AUDI176000H,11/28/2018,Audi,B&BH,1x1,